TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_45,10,0.25,0.5,1.0,45,10,25,30,True,0.4,True,6,0,18,True,"(0, 1, 2)",0.7333333333333333,0.4444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,2,58,False,0.4,True,16,0,34,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_46,10,0.25,0.5,1.0,46,2,16,56,True,0.6,True,0,0,22,True,"(2, 1, 0)",0.5666666666666667,0.5666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,44,9,28,False,0.6,True,18,0,12,True,"(2, 1, 0)",0.044444444444444446,0.24444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_47,10,0.25,0.5,1.0,47,10,25,30,True,0.2,True,8,0,24,True,"(2, 1, 0)",0.37777777777777777,0.5666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,3,78,False,0.2,True,4,0,62,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_48,10,0.25,0.5,1.0,48,14,27,22,True,0.6,True,6,0,8,True,"(0, 1, 2)",0.8444444444444444,0.5111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,24,18,30,False,0.6,True,10,0,12,True,"(0, 1, 2)",0.5333333333333333,0.5777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_49,10,0.25,0.5,1.0,49,14,27,22,True,0.7,True,4,0,6,True,"(0, 1, 2)",0.8888888888888888,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,46,4,36,False,0.7,True,14,0,10,True,"(0, 1, 2)",0.3333333333333333,0.4444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_5,10,0.25,0.5,1.0,5,10,24,32,True,0.5,True,4,0,16,True,"(2, 0, 1)",0.5111111111111111,0.4888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,36,27,0,False,0.5,True,18,0,0,True,"(2, 0, 1)",0.5555555555555556,0.3333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_50,10,0.25,0.5,1.0,50,22,27,14,True,0.8,True,4,0,2,True,"(1, 0, 2)",0.9333333333333333,0.5777777777777777
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,28,6,False,0.8,True,6,0,2,True,"(1, 0, 2)",0.6666666666666666,0.5555555555555556
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_51,10,0.25,0.5,1.0,51,0,9,72,True,0.2,False,0,8,58,True,"(0, 1, 2)",0.16666666666666666,0.16666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,36,10,34,False,0.2,False,28,8,28,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_52,10,0.25,0.5,1.0,52,18,27,18,True,0.5,False,8,14,8,True,"(2, 0, 1)",0.32222222222222224,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,12,27,24,False,0.5,False,6,14,12,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_53,10,0.25,0.5,1.0,53,20,28,14,True,0.5,True,10,0,6,True,"(2, 1, 0)",0.43333333333333335,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,36,6,42,False,0.5,True,18,0,20,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_54,10,0.25,0.5,1.0,54,4,22,42,True,0.5,True,2,0,20,True,"(0, 2, 1)",0.5,0.5111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,8,54,False,0.5,True,10,0,26,True,"(0, 2, 1)",0.3111111111111111,0.26666666666666666
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_55,10,0.25,0.5,1.0,55,0,9,72,True,0.8,False,0,2,14,True,"(0, 2, 1)",0.6333333333333333,0.6333333333333333
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,12,30,18,False,0.8,False,2,6,4,True,"(0, 2, 1)",0.4666666666666667,0.3111111111111111
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_56,10,0.25,0.5,1.0,56,22,25,18,True,0.5,False,10,13,8,True,"(0, 1, 2)",0.37777777777777777,0.34444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,66,4,16,False,0.5,False,32,2,8,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_57,10,0.25,0.5,1.0,57,16,26,22,True,0.5,True,8,0,10,True,"(0, 2, 1)",0.5222222222222223,0.4888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,34,18,False,0.5,True,2,0,8,True,"(0, 2, 1)",0.2222222222222222,0.7777777777777778
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_58,10,0.25,0.5,1.0,58,28,27,8,True,0.9,False,2,3,0,True,"(1, 0, 2)",0.9111111111111111,0.5333333333333333
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,76,2,10,False,0.9,False,8,1,0,True,"(1, 0, 2)",0.13333333333333333,0.5777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_59,10,0.25,0.5,1.0,59,4,22,42,True,0.3,False,2,16,30,True,"(1, 2, 0)",0.23333333333333334,0.2222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,40,6,38,False,0.3,False,28,5,26,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_6,10,0.25,0.5,1.0,6,22,26,16,True,0.4,False,14,16,10,True,"(2, 1, 0)",0.28888888888888886,0.26666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,17,50,False,0.4,False,4,11,30,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_60,10,0.25,0.5,1.0,60,0,27,36,True,0.4,True,0,0,22,True,"(1, 2, 0)",0.7555555555555555,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,50,12,16,False,0.4,True,30,0,10,False,"(1, 2, 0)",-1.0,-1.0
